,Men_log,Women_log,Hispanic_scale,White_scale,Black_scale,Native_scale,Asian_scale,Pacific_scale,Construction_log,Production_log,Drive_boxcox,Carpool_boxcox,Walk_boxcox,OtherTransp_boxcox,Income_log,IncomeErr_log,IncomePerCap_log,IncomePerCapErr_log,Poverty_log,ChildPoverty_log,TotalPop_log,MeanCommute_scale
Massachusetts-Bristol,12.497435435821528,12.56064087189698,-0.21891235685654964,0.38253239368461794,-0.3758165516408306,-0.23766023534502304,0.3308169107837009,0.023498466999804964,2.2300144001592104,2.533696813957432,17528182551.97128,4.196914590058115,0.9435288461841634,0.5513116879186498,10.948030768080395,6.840546529288687,10.295766098840117,5.8377304471659395,2.5416019934645457,2.856470206220483,13.222684617212918,0.7717060862762145
Massachusetts-Dukes,9.0410929746695,9.06009870864564,-0.5307887337336863,0.7270692937830235,-0.3898251908791601,-0.12734566586400975,-0.1629784067674944,-0.11258977713575608,2.8213788864092133,1.4586150226995167,9963189540.414312,3.3185559146099717,1.1974271677981108,1.0083564324607655,11.070101110104696,9.104535313079205,10.559970748724481,8.418697944667139,2.4595888418037104,2.990719731730447,9.743788173778453,-1.585606876631581
Massachusetts-Essex,12.815270121032412,12.889315944158183,0.37365275921001007,-0.07975762416893978,-0.4038338301174895,-0.22387091415989635,0.8246122283348962,-0.11258977713575608,1.9600947840472698,2.33214389523559,10505837537.539936,3.8880235783936055,1.09705687334689,0.905616121146672,11.14284680553232,6.927557906278317,10.497145834595331,6.19644412779452,2.4336133554004498,2.797281334830153,13.546125404635454,1.021724127796738
Massachusetts-Franklin,10.456193810265846,10.501911880781186,-0.38524642452435587,0.7052631608654029,-0.529911583262455,-0.21008159297476972,0.10291137960622614,-0.11258977713575608,2.1162555148025524,2.517696472610991,12832911770.651762,4.044591707927178,1.2431767734477772,0.7393175950494679,10.919098594700833,7.577633832602728,10.328232275376248,6.953684210870537,2.4595888418037104,2.72785282839839,11.172461271079476,0.07522725632618368
Massachusetts-Hampden,12.326567556282614,12.398468287895604,0.6075600418678626,-0.4373782040179176,-0.060622168778416974,-0.22387091415989635,0.3308169107837009,-0.11258977713575608,2.028148247292285,2.5416019934645457,18017288858.44237,3.951182474870439,0.995851641462913,0.622799085152153,10.828956039676049,6.75110146893676,10.18716160359037,5.860786223465865,2.8622008809294686,3.3032169733019514,13.056311177900136,-0.103357059045619
Massachusetts-Hampshire,11.229049473527398,11.355955815579172,-0.3072773303050717,0.41306097976928696,-0.42484678897498385,-0.22387091415989635,1.546313077063566,-0.11258977713575608,1.9600947840472698,2.028148247292285,7645249595.681434,3.388914504871265,1.4962491791586423,0.8701017335679802,11.024643805639132,7.257707677160043,10.31705309667816,6.626717749249025,2.6878474937846906,2.5572273113676265,11.987661628090942,-0.049781764434078064
Massachusetts-Middlesex,13.539153448683344,13.589329899305065,-0.1929226587834549,-0.03178413175017402,-0.2847603965916889,-0.22387091415989635,3.521494347268348,-0.11258977713575608,1.7404661748405046,1.8718021769015913,6503875448.559518,3.726845619476135,1.2599207557846244,0.8882713986982212,11.35179380805883,6.6293632534374485,10.695393505119338,5.908082938168931,2.1162555148025524,2.2192034840549946,14.257703531070286,1.075299422408279
Massachusetts-Nantucket,8.628555659269699,8.51057131510735,-0.04218240995950554,0.051079173336784,0.0444426255090543,-0.23766023534502304,-0.04902564117875701,-0.11258977713575608,3.0349529867072724,2.1400661634962708,6139313476.570344,4.286405019285206,1.528240210781085,1.294092187929028,11.339250419128529,8.903951072058707,10.714417768752456,8.24301946898925,2.451005098112319,2.8903717578961645,9.264449697623215,-2.121359822746989
Massachusetts-Norfolk,12.705122202801508,12.789097993330582,-0.37485054529511797,0.1164975720896459,-0.18669992192338242,-0.22387091415989635,3.217620305698381,-0.11258977713575608,1.7749523509116738,1.8082887711792655,7112754465.045566,3.6277542104499894,1.1217858086574126,0.6848266081210523,11.388064942888574,7.206377291472252,10.732672357496405,6.257667587882639,1.8870696490323797,1.9021075263969205,13.441138511412875,1.6824860946724085
Massachusetts-Plymouth,12.410388054583393,12.462047309137533,-0.3904443641389748,0.32583644809880447,-0.004587611825099007,-0.22387091415989635,0.026942869213734563,-0.11258977713575608,2.0918640616783932,2.2300144001592104,16467661241.15248,3.594304355884064,0.8394763500390321,0.5513116879186498,11.231344741376423,6.966967138613983,10.495791775666511,6.238324625039508,2.1041341542702074,2.4336133554004498,13.129698410156697,1.6467692315980473
Massachusetts-Suffolk,12.812482048032525,12.879404798717058,0.5347888872631974,-1.2616500283039778,0.7939048247596822,-0.21008159297476972,2.7997934985396773,-0.11258977713575608,1.5686159179138452,2.028148247292285,341464783.5651649,3.526751734801504,1.6246107148048732,0.9818952084727731,10.915888144385173,6.899723107284872,10.44639306976553,6.315358001522335,3.0301337002713233,3.3568971227655755,13.539650331315261,1.2360253062429012
Massachusetts-Worcester,12.898737209649537,12.92665988051551,-0.04218240995950554,0.15574861134136328,-0.31277767506834786,-0.21008159297476972,1.2044547802973542,-0.11258977713575608,2.0149030205422647,2.3978952727983707,17050089442.7472,4.106011489627671,1.0119438613510559,0.5883840329178517,11.086946376614357,6.525029657843462,10.382327030444262,5.733341276897746,2.468099531471619,2.7536607123542622,13.605943181920056,0.8967151070364763
Michigan-Alcona,8.577347114235984,8.564076777315087,-0.49960109604597264,0.910240810291037,-0.585946140215773,-0.21008159297476972,-0.3149154275524776,-0.11258977713575608,2.5649493574615367,2.9496883350525844,16353170365.5518,4.2268985309164755,1.0119438613510559,0.8701017335679802,10.546209482901759,7.466799475018602,10.083013538694615,6.952728644624869,2.7212954278522306,3.0633909220278057,9.263881138904212,-0.21050764826870022
Michigan-Alger,8.559869465696673,8.356554845453426,-0.5047990356605916,0.40869975318576246,-0.06762648839758169,0.12086211546827011,-0.46685244833746076,-0.11258977713575608,2.2300144001592104,2.917770732084279,10270362792.916805,4.196914590058115,1.4083487421814813,0.7129159957715903,10.578979797857352,8.059908334578276,9.964535614101061,7.385230923066573,2.6602595372658615,2.7788192719904172,9.156517565278676,-0.639110005161027
Michigan-Allegan,10.936760999895897,10.944329475454024,-0.20851647762731174,0.5962324962772998,-0.5088986244049607,-0.16871362941938972,-0.20096266196374024,-0.11258977713575608,2.451005098112319,3.1354942159291497,22351063800.962036,3.7594692559541856,0.7634988231018599,0.5883840329178517,10.901616302625916,7.214504414151143,10.133050455652521,6.39024066706535,2.5416019934645457,2.8390784635086144,11.6336995784456,0.16451941401208503
